,Requestors,Titles,HITs,Reward,Created
229,Researchers from Barcelona,Evaluate names for objects [batch 4] (~3.5min; $0.15 bonus possible),11,$0.50,2019-11-18 12:23:09.326128
230,Crisis Computing,Disaster-Related Tweets Categorization,11,$0.20,2019-11-13 14:23:09.326133
231,Center for Media Engagement,Communication and Current Issues(~ 8 minutes),10,$0.97,2019-11-18 12:23:09.326137
232,Kelsey Evey,Reading Bible Verses Part 2(~ 15 minutes),10,$3.00,2019-11-17 20:23:09.326142
233,Lucas Matias Jeno,A short survey on motivation for use of digital learning tools(~ 8 minutes),10,$1.00,2019-11-15 14:23:09.326147
234,Jason J Dahling,Personality Correlates(~ 12 minutes),10,$2.00,2019-10-28 00:00:00
235,komachi_lab,(~40 minutes) Evaluation of the output sentence of grammatical error correction systems.,10,$4.00,2019-11-18 10:23:09.326164
236,Emotion Research,Watch 20 video clips and identify the emotions of the characters (up to $0.80 pay upon qualification and successful completion),10,$0.05,2019-11-12 14:23:09.326169
237,Crowdsurf Support,Timing review - Earn up to $0.18 per timed media minute,9,$0.18,2019-11-18 14:21:09.326173
238,Maas CB Lab,Photo Evaluation Study(~ 15 minutes),9,$1.10,2019-11-18 09:23:09.326178
239,str11223344,Tell us how much this item would cost to replace - Soft Goods - Batch ID #30665,9,$0.25,2019-11-12 14:23:09.326183
240,Chris Davis,Psychology of Secrets - Time 2(~ 10 minutes),9,$1.25,2019-11-18 11:23:09.326187
241,Daniel Kadvany,Answer questions about the 2020 Census,9,$0.50,2019-11-18 11:23:09.326192
242,Daniel Kadvany,Answer questions about the 2020 Census,9,$0.35,2019-11-15 14:23:09.326197
243,Michael Sargent,Sports Survey(~ 6 minutes),9,$1.00,2019-11-17 14:23:09.326201
244,Emily,Food Survey Phase 2(~ 13 minutes),9,$0.75,2019-11-11 14:23:09.326205
245,Ryan Wang,News Opinion(~ 7 minutes),9,$0.70,2019-11-18 09:23:09.326209
246,Scoutbee GmbH,Collect company info from website,9,$0.15,2019-11-18 12:23:09.326214
247,Shopping Receipts,Extract Data From Shopping Receipt,9,$0.01,2019-11-18 13:23:09.326219
248,Shopping Receipts,Extract Data From Shopping Receipt,9,$0.02,2019-11-18 11:23:09.326224
249,Noah Turk,Which Conversational Partner is Better?,8,$0.50,2019-08-06 00:00:00
250,Ziming Li,Booking movie tickets for users,8,$0.07,2019-02-20 00:00:00
251,Conor O'Dea,Scholarship study 2 *5-10 minute survey*(~ 10 minutes),8,$0.25,2019-11-16 14:23:09.326252
252,Todman Lab,Boredom Awareness and Alcohol Use Follow Up Survey 6(~ 8 minutes),8,$1.00,2019-10-24 00:00:00
253,HUGC,Moderate Customer-Supplied Vacation Rental Reviews (WARNING: This HIT may contain adult content. Worker discretion is advised),8,$0.05,2019-11-18 11:23:09.326269
254,Jinchao Li,Chat and evaluate bot!,7,$0.25,2019-10-16 00:00:00
255,Jinchao Li,Chat and evaluate bot!,7,$0.10,2019-10-03 00:00:00
256,zhou yu,Persuasion for Good - earn up to $2!,7,$0.30,2019-09-18 00:00:00
257,zhou yu,Persuasion for Good - earn up to $2!,7,$0.30,2019-09-17 00:00:00
258,Crowdsurf Support,QC Transcript - Earn up to $0.17 per media minute qc'd,7,$0.17,2019-11-18 14:10:09.326321
259,jing betty feng,Psychological factors on cultural intelligence(~ 12 minutes),7,$0.60,2019-11-07 14:23:09.326327
260,ulido,"Second part of 2-part study about Jewelry, Earn $2!(~ 4 minutes)",7,$1.80,2019-11-13 14:23:09.326332
261,Mather Lab,Find the pictures (WARNING: This HIT contains adult content. Requires Inquisit download.)(~ 30 minutes),7,$4.00,2019-11-11 14:23:09.326336
262,Behavioral Research,Study on Hiring Decisions in Organizations(~ 60 minutes),7,$10.00,2019-11-08 14:23:09.326340
263,Carlos Paparoni,Survey to evaluate audio quality between samples,7,$0.10,2019-11-14 14:23:09.326345
264,Lead Liaison,"(Chinese) Transcribe contact data from business card, document, etc.",7,$0.20,2019-11-17 23:23:09.326349
265,Shopping Receipts,Extract General Data & Items From Shopping Receipt,7,$0.02,2019-11-17 23:23:09.326354
266,PPC WWBP,Empathic Conversation 99,6,$3.00,2019-09-28 00:00:00
267,Jasmine Wang,Can machines evaluate dialogue quality?,6,$0.30,2019-04-20 00:00:00
268,Language Research,Provide a URL to an image of machine-printed text in Hungarian,6,$0.06,2019-10-11 00:00:00
269,Noah Turk,Play a cooperative grid world game with a partner,6,$0.25,2019-01-08 00:00:00
270,SurveyComet,Make predictions about political events $16. (~ 120 minutes),6,$16.00,2019-11-18 13:23:09.326403
271,SurveyComet,Make predictions about political events $16. (~ 120 minutes),6,$16.00,2019-11-18 13:23:09.326409
272,SCIP Lab,Reactions to various situations 3(~ 15 minutes),6,$1.50,2019-11-18 11:23:09.326414
273,Positly,Answer 35 Trivia Questions (~9 mins),6,$1.10,2019-11-18 11:23:09.326419
274,Sandra J. Wayne,[10-15 minutes] [$2] Survey on understanding employee behavior in the workplace(~ 10 minutes),6,$2.00,2019-11-01 14:23:09.326423
275,str11223344,Tell us how much this item would cost to replace - General Contents - Batch ID #30666,6,$0.20,2019-11-14 14:23:09.326428
276,Speechfeedback,Rate the quality of computer-generated speech - Korean@South Korea native only [#1b69],6,$1.00,2019-11-15 14:23:09.326432
277,Speechfeedback,Rate the quality of computer-generated speech - Korean@South Korea native only [#b0c3],6,$1.00,2019-11-14 14:23:09.326436
278,MPM Lab,Judgments and Politics - Longitudinal Study (Part 2 of 2)(~ 8 minutes),6,$1.60,2019-10-25 00:00:00
279,Speechfeedback,Rate the quality of computer-generated speech - Korean@South Korea native only [#fa37],6,$1.00,2019-11-18 10:23:09.326452
280,Georgetown University Massive Data Institute,Text Labeling: Determine if text is about the #MeToo movement,6,$0.03,2019-11-14 14:23:09.326458
281,Leo Hermacinski,Collect data from a Website,6,$0.10,2019-11-18 10:23:09.326462
282,Vincent Phan,Dealing with Demands in the Workplace (Survey 1)(~ 5 minutes),6,$0.50,2019-11-18 13:23:09.326467
283,VisionLearning,Chat with and rate a fellow conversationalist!,5,$1.00,2019-11-14 14:23:09.326471
284,Ziming Li,Booking movie tickets for users,5,$0.07,2019-02-18 00:00:00
285,Ziming Li,Booking movie tickets for users,5,$0.07,2019-02-16 00:00:00
286,ulido,"Second part of 2-part study about Jewelry, Earn $2!(~ 4 minutes)",5,$1.80,2019-11-13 14:23:09.326502
287,Selime Salim,Women’s Life Experiences Survey(~ 60 minutes),5,$5.00,2019-11-14 14:23:09.326507
288,Positly,Answer 20 Trivia Questions (~5 mins),5,$0.50,2019-11-18 11:23:09.326514
289,A2Z,Data Entry - new instructions 26th Oct (E332-725),5,$0.03,2019-11-18 14:22:57.326519
290,Timo,Behavior of e commerce consumers/users,5,$0.11,2019-11-16 14:23:09.326524
291,Fangzhou,Answer a survey about your opinions on interaction with wearable devices,5,$0.25,2019-11-16 14:23:09.326528
292,EmotionHKBU,[11/17] Invited HIT: Label Tweets’ Emotions ($0.55),5,$0.55,2019-11-17 22:23:09.326532
293,EmotionHKBU,[11/16] Invited HIT: Label Tweets’ Emotions ($0.55),5,$0.55,2019-11-17 14:23:09.326537
294,EPL Admin,$0.38. Make Hypothetical Economic Decisions. Time: 10 minutes,5,$0.38,2019-10-08 00:00:00
295,SEO BrainTrust,*UPDATE* Summarize and write three key points made in the provided article,5,$0.45,2019-11-18 11:23:09.326554
296,EmotionHKBU,[11/15] Invited HIT: Label Tweets’ Emotions ($0.55),5,$0.55,2019-11-16 14:23:09.326559
297,zhou yu,Persuasion for Good - earn up to $2!,4,$0.30,2019-09-16 00:00:00
298,Holly Howe,Answer questions about medical decision making (includes writing)(~ 8 minutes),4,$0.96,2019-11-18 10:23:09.326575
299,Adrian R Camilleri,What are the biggest decisions you have ever made in your life?(~ 60 minutes),4,$7.50,2019-11-17 20:23:09.326581
300,BIU NLP,Write question-answer pairs about verbal nouns,4,$0.05,2019-11-03 14:23:09.326587
301,str11223344,Tell us what this item is - General Contents - Batch ID #30764,4,$0.07,2019-11-18 13:23:09.326592
302,str11223344,Tell us what this item is - Electronics - Batch ID #30763,4,$0.09,2019-11-18 12:23:09.326597
303,Todman Lab,Boredom Awareness and Alcohol Use Follow Up Survey 6(~ 8 minutes),4,$1.00,2019-10-31 14:23:09.326604
304,Job Spotter,Verify photos of hiring sign and store name,4,$0.03,2019-11-18 14:22:51.326609
305,Relationship Research,Romantic Relationship Followup(~ 20 minutes),4,$4.00,2019-11-14 14:23:09.326614
306,Qiang Ning (AllenNLP),DO NOT WORK ON THIS (TESTING),4,$0.01,2019-11-15 14:23:09.326618
307,PFT,Catégorisation d'une phrase en Français,3,$0.01,2019-11-18 14:22:09.326622
308,Jinchao Li,Chat and evaluate bot!,3,$0.20,2019-10-11 00:00:00
309,Chatbot for Car Dealers,Provide difference utterance for the given utterance!,3,$0.10,2019-06-30 00:00:00
310,Language Research,Provide a URL to an image of machine-printed text in Telugu,3,$0.06,2019-11-13 14:23:09.326651
311,NLUResearch,Explain a Story regular warmup,3,$0.75,2019-09-16 00:00:00
312,Aleksandra Kovacheva,Attitudes and Opinions Study(~ 6 minutes),3,$0.52,2019-11-18 14:22:09.326669
313,Guy Voichek,Judgment and choices(~ 2 minutes),3,$0.20,2019-11-18 13:50:09.326674
314,Laboratory for Sociological Research,Workplace Reasoning Study(~ 25 minutes),3,$2.00,2019-11-18 12:23:09.326679
315,Nicole Palas,Three Part Study on Eyewitnesses(~ 15 minutes),3,$3.50,2019-11-17 19:23:09.326684
316,Social Innovations Lab,Compensation HIT(~ 1 minutes),3,$0.25,2019-11-17 14:23:09.326689
317,Thomas,Attitudes Survey(~ 10 minutes),3,$1.00,2019-11-14 14:23:09.326693
318,Moore Lab,Mental health and predictions survey(~ 35 minutes),3,$4.50,2019-11-14 14:23:09.326697
319,Neasa Connelly,Find Websites based off Company Name,3,$0.05,2019-11-13 14:23:09.326702
320,str11223344,Tell us what this item is - Soft Goods - Batch ID #30763,3,$0.07,2019-11-18 13:23:09.326706
321,Positly,Answer 20 Trivia Questions (~5 mins),3,$0.50,2019-11-18 11:23:09.326711
322,parkseongkuk,[CORUS-TEST-1] data input behavior test,3,$1.00,2019-11-15 14:23:09.326716
323,LessHours - jobs where it's not crazy at work,Get the details from a job posting (<5 mins),3,$0.20,2019-11-05 14:23:09.326720
324,Positly,Answer 20 Trivia Questions (~5 mins),3,$0.50,2019-11-18 11:23:09.326724
325,str11223344,Tell us what this item is - General Contents - Batch ID #30673,3,$0.07,2019-11-12 14:23:09.326729
326,Job Spotter,Notez les coordonnées du magasin qui arbore une affiche de recrutement (ATTENTION : ce résultat peut contenir du contenu réservé,3,$0.06,2019-11-17 14:23:09.326733
327,Relationship Research,Romantic Relationship Followup(~ 20 minutes),3,$4.00,2019-11-14 14:23:09.326738
328,WikiRealty,"Short Article Summary | Lincoln Park, IL",3,$2.00,2019-11-18 12:23:09.326742
329,A2Z,Data Entry from images (D267),3,$0.03,2019-11-16 14:23:09.326747
330,"Mike, Postdoctoral Researcher",Time Preferences Three-Part Study: Part Two,3,$1.00,2019-11-16 14:23:09.326751
331,"Mike, Postdoctoral Researcher",Time Preferences Three-Part Study: Part Three,3,$4.00,2019-11-15 14:23:09.326756
332,Speechfeedback,Rate the quality of computer-generated speech - Korean@South Korea native only [#5ee4],3,$1.00,2019-11-14 14:23:09.326760
333,Speechfeedback,Rate the quality of computer-generated speech - Korean@South Korea native only [#3e62],3,$1.00,2019-11-14 14:23:09.326764
334,Karina Tachihara,Reading Spanish sentences and answering questions(~ 8 minutes),3,$1.00,2019-10-22 00:00:00
335,Thor Russell,Rate the speech sample,3,$0.07,2019-11-18 13:23:09.326781
336,Hotel Photos,Hotel Image Moderation (Adult content),3,$0.08,2019-11-18 14:22:54.326786
337,Shopping Receipts,Extract Data From Shopping Receipt,3,$0.03,2019-11-18 07:23:09.326790
338,Andrew Nimmich,Data Mining,2,$0.10,2019-09-22 00:00:00
339,Andrew Nimmich,Data Mining,2,$0.10,2019-09-21 00:00:00
340,Andrew Nimmich,Collect data from a Website,2,$0.10,2019-10-07 00:00:00
341,Henry,An English/Chinese Language Test - Part 1 (of 2)(~ 30 minutes),2,$1.50,2019-11-06 14:23:09.326829
342,Language Research,Provide a URL to an image of machine-printed text in Maldivian,2,$0.06,2019-09-30 00:00:00
343,LSAN,Answer a survey about faces and emotions.,2,$1.00,2019-09-03 00:00:00
344,LSAN,Answer a survey about faces and emotions.,2,$1.00,2019-09-03 00:00:00
345,Aleksandra Kovacheva,Attitudes and Opinions Study(~ 6 minutes),2,$0.52,2019-11-18 14:22:48.326866
346,TPNI Engage,Fill out form from image,1,$0.05,2019-11-18 14:19:09.326871
347,adrian rivera,School Experiences Survey(~ 20 minutes),2,$2.00,2019-11-16 14:23:09.326876
348,Todman Lab,Boredom Awareness and Alcohol Use Follow Up Survey 6(~ 8 minutes),2,$1.00,2019-11-14 14:23:09.326880
349,LSAN,Answer a survey about faces and emotions.,2,$1.00,2019-09-03 00:00:00
350,A2Z,Data Entry - new instructions 26th Oct (E332-725),2,$0.03,2019-11-18 14:22:27.326901
351,Eva,Give spontaneous associations to shown words.,2,$0.15,2019-11-18 10:23:09.326906
352,Alan Ritter,Question-Answer response fluency survey,2,$0.15,2019-11-18 00:23:09.326911
353,Declan,Quick and Easy survey about your opinions,2,$0.01,2019-11-10 14:23:09.326916
354,Riche,Give music recommendations,2,$0.60,2019-11-17 20:23:09.326921
355,RootsRated,Identify the breaks in the body of an article,2,$0.15,2019-11-17 18:23:09.326926
356,Neuro Exp1,2 visual acuity experiments - second experiment!(~ 50 minutes),2,$8.00,2019-11-17 18:23:09.326931
357,Brandi Schmidt,Answer a 3-minute survey about face masks!,2,$0.05,2019-11-16 14:23:09.326936
358,Musicbed,Add Metadata to video clips,2,$0.54,2019-11-16 14:23:09.326940
359,Noah Turk,Text Meaning Questionnaire,2,$0.20,2019-11-18 01:23:09.326944
360,Daniel Kadvany,Answer questions about the 2020 Census in Spanish,2,$1.00,2019-11-15 14:23:09.326949
361,Comprehend,Segment and align text between novel chapters and their summaries (~30 minutes),2,$0.01,2019-11-18 10:23:09.326954
362,Martin Abel,"Short Survey - Hindi Speakers ($0.35 ~25 Indian Rupee, 8min)(~ 8 minutes)",2,$0.35,2019-11-17 20:23:09.326958
363,Thor Russell,Rate the user's writing,2,$0.10,2019-11-18 13:23:09.326963
364,Sameer,Label the requested items in the image,2,$0.07,2019-11-07 14:23:09.326968
365,Alexey Kuznetsov,Create 7 tags for an Article,2,$0.06,2019-11-17 23:23:09.326972
366,Ana Maria Soto,Label the peaks and valleys on the graph,2,$0.20,2019-11-13 14:23:09.326977
367,EPL Admin,$0.38. Make Hypothetical Economic Decisions. Time: 10 minutes,2,$0.38,2019-10-08 00:00:00
368,Relationship Research,Romantic Relationship Followup(~ 20 minutes),2,$4.00,2019-11-10 14:23:09.326994
369,Chris,Get profile fields,2,$0.05,2019-11-18 12:23:09.326999
370,Frank H. Durgin,Categorization Task and Survey(~ 13 minutes),1,$1.10,2019-11-18 08:23:09.327004
371,Shopping Receipts,Extract General Data & Items From Shopping Receipt,2,$0.01,2019-11-18 02:23:09.327008
372,Shopping Receipts,Extract Data From Shopping Receipt,2,$0.03,2019-11-18 06:23:09.327013
373,rybn,Play the next move in chess game!!!,1,$0.01,2019-11-18 14:06:09.327018
374,Alicia Mendez,Parenting and Caregiving Experiences ~45 min,1,$7.00,2019-11-11 14:23:09.327023
375,Lisa A. Suzuki,Digital Transcripts and Emotions Survey,1,$1.50,2019-11-06 14:23:09.327027
376,Noah Turk,Beat the System! (Creation),1,$1.60,2019-10-25 00:00:00
377,Noah Turk,Beat the System! (Creation),1,$1.60,2019-10-24 00:00:00
378,Noah Turk,Chat with a fellow conversationalist!,1,$1.87,2019-10-23 00:00:00
379,Jesse D. Crosson,Congressional press release data collection,1,$1.10,2019-10-15 00:00:00
380,FAI study,HIT for A15PHPJA7AWCS3,1,$3.00,2019-10-03 00:00:00
381,FAI study,HIT for A10048W1LKR40,1,$3.00,2019-10-03 00:00:00
382,FAI study,HIT for A3SGR153YCJ1XN,1,$3.00,2019-10-03 00:00:00
383,Olivier Klein,HIT for A2AH0FADJ9PCE5,1,$4.00,2019-09-30 00:00:00
384,Olivier Klein,HIT for A2FYQIZWV2UJHS,1,$4.00,2019-09-30 00:00:00
385,Olivier Klein,HIT for A3HW4QDJB63OQ2,1,$3.00,2019-09-30 00:00:00
386,Olivier Klein,HIT for A33KIELSFIQ02Q,1,$3.00,2019-09-30 00:00:00
387,michelle,Quick Ben & Jerry's Survey,1,$0.03,2019-10-02 00:00:00
388,Olivier Klein,HIT for A1RTLF0OVZI4QT,1,$3.00,2019-09-27 00:00:00
389,Olivier Klein,HIT for A33KIELSFIQ02Q,1,$3.00,2019-09-27 00:00:00
390,Olivier Klein,HIT for A3HW4QDJB63OQ2,1,$3.00,2019-09-27 00:00:00
391,Olivier Klein,HIT for A2AH0FADJ9PCE5,1,$4.00,2019-09-26 00:00:00
392,Olivier Klein,HIT for A2FYQIZWV2UJHS,1,$4.00,2019-09-26 00:00:00
393,Olivier Klein,HIT for A14FPZMC9ENX8E,1,$3.00,2019-09-26 00:00:00
394,Julie Yeterian & Sunny Dutra,U.S. Military Veterans' Thoughts and Preferences about Mental Health Treatment(~ 60 minutes),1,$7.50,2019-09-17 00:00:00
395,Olivier Klein,HIT for A1U3UUELW55W65,1,$8.00,2019-09-06 00:00:00
396,Olivier Klein,HIT for A1U5BE8XJRXKW3,1,$8.00,2019-09-06 00:00:00
397,Olivier Klein,HIT for AK6K3ED4D1J8J,1,$3.00,2019-08-28 00:00:00
398,Olivier Klein,HIT for A191V7PT3DQKDP,1,$3.00,2019-08-16 00:00:00
399,Olivier Klein,HIT for A191V7PT3DQKDP,1,$3.00,2019-08-15 00:00:00
400,Crowdsurf Support,Spanish: QC Reject - $0.20 per media minute,1,$0.20,2019-11-18 04:23:09.327306
401,Chatbot for Car Dealers,Provide difference utterance for the given utterance!,1,$0.10,2019-06-30 00:00:00
402,Jennifer Bakal,Answer a survey about Relationships and Pets,1,$1.00,2019-10-22 00:00:00
403,UserBob,Upload 11-minute screencast of a MOBILE website,1,$6.00,2019-11-18 01:23:09.327342
404,UserBob,Upload 2-minute screencast of a website,1,$0.60,2019-11-18 01:23:09.327352
405,UserBob,Upload 25 minute screencast of an Android app,1,$13.75,2019-11-18 01:23:09.327360
406,UserBob,Upload 15-minute screencast of a website (Age 55-66),1,$7.00,2019-11-18 01:23:09.327366
407,UserBob,Upload 3-minute screencast of an iOS app,1,$2.75,2019-11-17 21:23:09.327371
408,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-16 14:23:09.327377
409,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-15 14:23:09.327381
410,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-14 14:23:09.327385
411,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-13 14:23:09.327390
412,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-13 14:23:09.327396
413,Paul Conway,"Recompense: Perceptions and Evaluations ~5 minutes, $0.25",1,$0.25,2019-05-10 00:00:00
414,UserBob,Upload 2-minute screencast of a MOBILE website,1,$1.60,2019-11-10 14:23:09.327414
415,UserBob,Upload 1-minute screencast of a website,1,$0.40,2019-11-10 14:23:09.327419
416,UserBob,Upload 9-minute screencast of a MOBILE website (For A12DY4HHG6MYF0 only),1,$5.60,2019-11-06 14:23:09.327423
417,Yale Institute for Network Science,HIT for A6U5ZHN5Y953Q,1,$2.50,2019-04-30 00:00:00
418,EdgcumbeLab,How do our personalities interact with what we believe we see?,1,$0.05,2019-06-12 00:00:00
419,L. Martin,Answer a survey about psychology and health,1,$1.00,2019-04-24 00:00:00
420,UserBob,"Upload 5-minute screencast of a MOBILE website (Females 50+ only, please)",1,$2.30,2019-10-21 00:00:00
421,UserBob,Upload 8-minute screencast of a MOBILE website (For A2KMJE72HDDVGP only),1,$4.80,2019-10-17 00:00:00
422,Ten Edu,Beauty Sector Study,1,$0.01,2019-11-08 14:23:09.327500
423,VWO Website Reviews,Share your opinion on design of a website,1,$0.20,2019-11-14 14:23:09.327505
424,Xinyi Li,Memory task,1,$4.00,2019-05-14 00:00:00
425,NLUResearch,"Qualification Test for ""Explain a Story"" task!",1,$0.90,2019-11-14 14:23:09.327581
426,Ziming Li,Booking movie tickets for users,1,$0.07,2019-02-17 00:00:00
427,Ziming Li,Booking movie tickets for users,1,$0.07,2019-02-16 00:00:00
428,Lang Science,Does this segment contain any Minnan speech? (Requires Mozilla Firefox),1,$0.05,2019-11-18 10:23:09.327623
429,LMU Psychologie,Psychologische Studie zu persönlichen Präferenzen,1,$1.50,2019-11-15 14:23:09.327630
430,Noah,Ask complementary (second) question about text in image,1,$0.54,2019-02-01 00:00:00
431,VWO Website Reviews,Tell your first impressions about a website design,1,$0.12,2019-10-03 00:00:00
432,VWO Website Reviews,Provide quick feedback on website design,1,$0.12,2019-10-03 00:00:00
433,Natalia,Stress Management Study,1,$2.50,2019-09-29 00:00:00
434,Riley,Mastery in Sexual Minorities of Color(~ 15 minutes),1,$0.15,2019-10-15 00:00:00
435,Language Research,Provide a URL to an image of machine-printed text in Hungarian,1,$0.06,2019-10-24 00:00:00
436,David,Search Google for a Series of Keywords,1,$0.20,2019-11-18 00:23:09.327705
437,Joshua Swift,Attitudes Toward Mental Health(~ 25 minutes),1,$0.50,2019-11-17 17:23:09.327712
438,HRBlab,Part 2 of research study: Assessing perceptions of people’s behaviors in the context of alcohol use.(~ 40 minutes),1,$2.50,2019-11-15 14:23:09.327717
439,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
440,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
441,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
442,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
443,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
444,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
445,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
446,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
447,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
448,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
449,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
450,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
451,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
452,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-10-14 00:00:00
453,Jenna Damico,Sexual Harassment and Problem-Solving(~ 20 minutes),1,$0.40,2019-11-14 14:23:09.327868
454,Noah,Answer question about text in image,1,$0.80,2019-01-11 00:00:00
455,Noah,Answer question about text in image,1,$0.80,2019-01-10 00:00:00
456,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327895
457,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327900
458,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327905
459,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327915
460,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327920
461,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327924
462,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327928
463,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327933
464,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327938
465,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-11-11 14:23:09.327942
466,LSAN,Answer a survey about faces and emotions,1,$1.00,2019-10-26 00:00:00
467,Stanford HCI,HIT to repay,1,$0.01,2019-06-24 00:00:00
468,Language Research,Provide a URL to an image of machine-printed text in Urdu,1,$0.06,2019-10-11 00:00:00
469,LSAN,Answer a survey about faces and emotions.,1,$0.35,2018-12-18 00:00:00
